cluster,category,count
0,autos,744
0,entertainment,65
0,finance,890
0,foodanddrink,110
0,health,400
0,kids,5
0,lifestyle,336
0,middleeast,2
0,movies,95
0,music,103
0,news,14446
0,northamerica,1
0,sports,997
0,travel,840
0,tv,264
0,video,1618
0,weather,1058
1,autos,36
1,entertainment,15
1,finance,39
1,foodanddrink,32
1,health,19
1,kids,1
1,lifestyle,44
1,movies,3
1,music,29
1,news,240
1,sports,15809
1,travel,25
1,tv,60
1,video,58
1,weather,17
2,autos,1296
2,entertainment,615
2,finance,2857
2,foodanddrink,2981
2,games,1
2,health,1788
2,kids,16
2,lifestyle,2611
2,movies,574
2,music,770
2,news,5353
2,sports,2562
2,travel,2148
2,tv,703
2,video,1036
2,weather,1526
